name,cluster,submissions_count,likes_count,companies_count
median-employee-salary,4,60100,322,1
managers-with-at-least-5-direct-reports,4,576100,996,2
find-median-given-frequency-of-numbers,4,66600,306,1
subtree-of-another-tree,3,1700000,8100,1
squirrel-simulation,4,38900,411,1
winning-candidate,4,104600,171,0
distribute-candies,4,411100,1500,1
out-of-boundary-paths,4,426900,3900,1
employee-bonus,4,416900,824,1
get-highest-answer-rate-question,4,136400,127,1
find-cumulative-salary-of-an-employee,4,73600,236,1
count-student-number-in-departments,4,112600,242,1
shortest-unsorted-continuous-subarray,3,882400,7700,1
kill-process,4,121500,1100,1
delete-operation-for-two-strings,3,397800,5700,1
find-customer-referee,3,1100000,1900,3
investments-in-2016,4,204300,506,1
customer-placing-the-largest-number-of-orders,4,383200,967,1
erect-the-fence,4,110100,1500,1
design-in-memory-file-system,3,209500,1500,6
n-ary-tree-preorder-traversal,4,560900,3100,1
n-ary-tree-postorder-traversal,4,324100,2300,0
tag-validator,4,38900,167,1
fraction-addition-and-subtraction,4,66800,390,1
valid-square,4,243100,1000,3
longest-harmonious-subsequence,4,283700,2100,3
big-countries,3,1600000,2600,1
classes-more-than-5-students,4,705700,990,0
friend-requests-i:-overall-acceptance-rate,4,177200,303,1
range-addition-ii,4,179200,923,1
minimum-index-sum-of-two-lists,4,405700,1900,2
non-negative-integers-without-consecutive-ones,4,97600,1500,1
human-traffic-of-stadium,4,202800,658,1
friend-requests-ii:-who-has-the-most-friends,4,207700,591,1
consecutive-available-seats,4,128400,635,1
design-compressed-string-iterator,4,82700,436,1
can-place-flowers,3,2500000,6400,5
construct-string-from-binary-tree,4,455500,31,2
sales-person,4,311800,1100,1
tree-node,4,213800,1200,2
find-duplicate-file-in-system,4,222700,1500,1
triangle-judgement,4,223200,547,2
valid-triangle-number,4,376100,3800,1
shortest-distance-in-a-plane,4,65600,217,0
shortest-distance-in-a-line,4,87900,324,0
second-degree-follower,4,135800,158,0
average-salary:-departments-vs-company,4,63500,236,0
add-bold-tag-in-string,4,180400,1100,1
merge-two-binary-trees,3,962200,8700,2
students-report-by-geography,4,37100,183,1
biggest-single-number,4,285800,569,1
not-boring-movies,4,587100,1100,1
task-scheduler,2,1000000,10300,8
design-circular-queue,3,601600,3500,4
add-one-row-to-tree,3,272100,3000,3
maximum-distance-in-arrays,4,114700,756,1
minimum-factorization,4,33500,127,0
exchange-seats,4,290800,1400,1
swap-salary,4,484700,1700,2
maximum-product-of-three-numbers,3,700100,4100,2
k-inverse-pairs-array,4,252200,2600,1
course-schedule-iii,3,274600,3700,3
design-excel-sum-formula,4,37800,229,1
smallest-range-covering-elements-from-k-lists,4,166800,3400,2
sum-of-square-numbers,4,581500,2500,1
find-the-derangement-of-an-array,4,26500,217,2
design-log-storage-system,4,56800,470,2
exclusive-time-of-functions,4,342800,1900,3
average-of-levels-in-binary-tree,3,676900,5200,1
shopping-offers,4,115100,1500,1
decode-ways-ii,4,239400,1500,1
solve-the-equation,4,89400,485,1
design-circular-deque,4,120300,1200,0
design-search-autocomplete-system,3,286200,2100,5
maximum-average-subarray-i,3,996900,3400,3
